date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2024-07-26;true;true;true;true;true;true;false;false;1722003900000000;10:15 - 10:30;false;false;false;1722004200000000;1722004200000000;false;5.0;5.0;10:30 - 10:45;10:30 - 10:45;;;-0.7;-0.9;-0.1;-0.2;-0.8;1.3;0.1;0.9;1.0;-0.8;1.3;Strong Uptrend;;false;false;3.0
2024-07-29;false;false;true;false;true;true;true;true;1722261600000000;10:00 - 10:15;false;true;true;1722261900000000;1722272400000000;false;5.0;180.0;13:00 - 13:15;10:00 - 10:15;false;false;-4.0;-5.6;-0.1;-0.4;-4.1;-0.1;0.9;0.2;-2.8;-4.1;0.3;Expansion;Strong Uptrend;false;false;5.2
2024-07-30;false;false;true;false;true;true;true;true;1722348000000000;10:00 - 10:15;false;true;true;1722348900000000;1722351600000000;true;15.0;60.0;11:00 - 11:15;10:15 - 10:30;false;;-1.2;-2.4;0.2;0.1;-1.3;0.3;0.5;0.1;-0.7;-1.3;0.3;Weak Downtrend;Contraction;true;false;3.1
2024-07-31;true;false;true;false;true;true;true;true;1722435600000000;10:15 - 10:30;false;true;true;1722448200000000;1722455400000000;true;210.0;330.0;15:45 - 16:00;13:45 - 14:00;false;false;-3.4;-5.7;0.9;1.4;-3.5;0.9;0.1;0.2;-2.8;-3.5;0.9;Weak Uptrend;Strong Uptrend;false;true;2.2
2024-08-01;true;false;true;false;true;true;true;true;1722521700000000;10:15 - 10:30;false;true;true;1722522300000000;1722534300000000;false;10.0;210.0;13:45 - 14:00;10:15 - 10:30;true;false;-5.0;-5.8;-0.1;-0.2;-5.1;-0.1;0.2;0.6;-2.6;-5.1;0.7;Strong Uptrend;Strong Downtrend;true;true;1.7
2024-08-02;true;false;true;false;true;true;true;true;1722607800000000;10:00 - 10:15;false;true;true;1722609000000000;1722612000000000;true;20.0;70.0;11:15 - 11:30;10:30 - 10:45;false;false;-3.3;-4.2;0.3;0.3;-3.4;0.3;0.0;0.5;-3.1;-3.4;0.7;Strong Uptrend;Strong Downtrend;false;false;2.1
2024-08-05;true;true;false;true;false;true;true;true;1722866400000000;10:00 - 10:15;true;true;true;1722867000000000;1722875100000000;true;10.0;145.0;12:15 - 12:30;10:00 - 10:15;false;false;2.0;2.3;1.0;1.1;2.1;1.0;0.1;0.9;1.4;0.9;2.1;Weak Downtrend;Strong Downtrend;true;false;2.0
2024-08-06;true;true;false;true;false;true;true;true;1722953100000000;10:00 - 10:15;true;true;true;1722958200000000;1722968100000000;false;85.0;250.0;14:15 - 14:30;11:30 - 11:45;false;false;2.9;4.8;1.4;2.1;3.0;1.4;0.8;0.8;2.6;0.8;3.0;Strong Downtrend;Strong Uptrend;true;false;3.0
2024-08-07;false;false;true;false;true;true;true;true;1723039200000000;10:00 - 10:15;false;true;true;1723039800000000;1723060500000000;true;10.0;355.0;15:45 - 16:00;10:00 - 10:15;false;false;-2.4;-3.3;0.1;0.0;-2.5;0.1;0.7;0.1;-2.4;-2.5;0.3;Weak Uptrend;Strong Uptrend;true;true;2.9
2024-08-08;false;true;false;true;false;true;true;true;1723127100000000;10:15 - 10:30;true;true;true;1723127400000000;1723133400000000;false;5.0;105.0;12:00 - 12:15;10:30 - 10:45;false;true;2.8;3.6;1.3;1.5;2.9;1.3;1.0;0.6;2.5;0.5;2.9;Expansion;Strong Uptrend;false;false;4.9
2024-08-09;true;true;true;true;true;true;false;false;1723212000000000;10:00 - 10:15;true;false;true;1723212300000000;1723212300000000;true;5.0;5.0;10:00 - 10:15;10:00 - 10:15;false;false;1.8;2.1;1.0;1.0;1.9;-0.3;0.8;1.0;1.4;-0.3;1.9;Strong Downtrend;Strong Downtrend;false;true;1.8
2024-08-12;false;true;true;true;false;true;true;false;1723473000000000;10:30 - 10:45;true;true;false;1723473300000000;1723473600000000;false;5.0;10.0;10:30 - 10:45;10:30 - 10:45;false;false;1.6;1.8;1.1;1.2;1.7;0.3;1.0;0.2;0.6;-0.1;1.7;Weak Uptrend;Strong Downtrend;true;true;2.1
2024-08-13;true;true;false;true;false;true;true;true;1723558200000000;10:00 - 10:15;true;true;true;1723559400000000;1723570800000000;true;20.0;210.0;13:30 - 13:45;10:30 - 10:45;;;5.0;5.6;0.3;0.2;5.1;0.3;0.1;1.0;3.6;0.3;5.1;Weak Downtrend;Weak Downtrend;false;true;1.8
2024-08-14;false;false;true;false;true;true;true;true;1723644300000000;10:00 - 10:15;false;true;true;1723650600000000;1723653900000000;true;105.0;160.0;12:45 - 13:00;11:45 - 12:00;false;false;-0.5;-0.8;0.2;0.1;-0.6;0.2;0.8;0.1;-0.5;-0.6;0.2;Expansion;Strong Uptrend;true;false;10.0
